Relative Time,WaterDepth
21617,3747.156
19817,3747.070
18017,3746.998
16217,3746.947
14417,3746.920
12617,3746.915
10817,3746.941
9017,3746.984
7217,3747.048
5417,3747.130
3617,3747.221
1817,3747.319
17,3747.416
-1783,3747.505
-3583,3747.577
-5383,3747.633
-7183,3747.671
-8983,3747.681
-10783,3747.675
-12583,3747.640
-14383,3747.588
-16183,3747.518
-17983,3747.447
-19783,3747.365
-21583,3747.284
-23383,3747.212
-25183,3747.153
-26983,3747.114
-28783,3747.093
-30583,3747.095
-32383,3747.118
-34183,3747.167
-35983,3747.236
-37783,3747.316
-39583,3747.407
-41383,3747.502
-43183,3747.596
-44983,3747.681
-46783,3747.754
-48583,3747.805
-50383,3747.838
-52183,3747.844
-53983,3747.831
-55783,3747.786
-57583,3747.724
-59383,3747.643
-61183,3747.549
-62983,3747.442
